param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[1]	0.72	1.64	-2.41	0.7	4.08	1.01
logWET.p[2]	0.73	1.63	-2.39	0.69	4.02	1.01
logWET.p[3]	0.71	1.63	-2.42	0.68	4.03	1
logWET.p[4]	0.59	1.63	-2.56	0.58	3.84	1
logWET.p[5]	0.91	1.67	-2.32	0.9	4.27	1
logWET.p[6]	0.7	1.63	-2.43	0.67	3.99	1
logWET.p[7]	0.74	1.64	-2.41	0.71	4.05	1.01
logWET.p[8]	0.75	1.64	-2.39	0.71	4.08	1.01
logWET.p[9]	0.74	1.63	-2.39	0.71	4.04	1
logWET.p[10]	0.74	1.63	-2.38	0.71	4.05	1.01
logWET.p[11]	0.73	1.63	-2.42	0.7	4.04	1.01
logWET.p[12]	0.78	1.65	-2.38	0.75	4.13	1.01
logWET.p[13]	0.77	1.65	-2.4	0.74	4.09	1.01
logWET.p[14]	0.76	1.64	-2.38	0.73	4.08	1.01
logWET.p[15]	0.77	1.64	-2.35	0.74	4.1	1.01
logWET.p[16]	1.39	1.65	-1.74	1.35	4.76	1.01
logWET.p[17]	1.32	1.64	-1.78	1.28	4.68	1.01
logWET.p[18]	1.3	1.64	-1.83	1.26	4.65	1.01
logWET.p[19]	1.58	1.63	-1.55	1.56	4.83	1.01
logWET.p[20]	1.58	1.63	-1.59	1.55	4.88	1.01
logWET.p[21]	1.61	1.63	-1.55	1.58	4.91	1.01
logWET.p[22]	1.61	1.63	-1.53	1.58	4.93	1.01
logWET.p[23]	1.59	1.63	-1.53	1.56	4.88	1.01
logWET.p[24]	1.61	1.64	-1.51	1.58	4.92	1.01
logWET.p[25]	1.06	1.63	-2.08	1.04	4.34	1.01
logWET.p[26]	1.06	1.63	-2.08	1.04	4.32	1
logWET.p[27]	1.61	1.63	-1.52	1.59	4.92	1.01
logWET.p[28]	1.07	1.63	-2.06	1.04	4.36	1.01
logWET.p[29]	1.07	1.63	-2.07	1.04	4.33	1
logWET.p[30]	1.06	1.63	-2.08	1.04	4.34	1
