ORIG_FID	CS	RSLR	TR	WH	WETpx	WET96px	NDVI	NDMI	WET	logWET	PCT	logPCT	HUC4	region
971	-0.44097037576627	0.811232745386058	-0.425064699461662	0.994573260049688	-0.228352233828527	1.81911307197093	0.427552767231876	0.427552767231876	1.53	0.425267735404344	0.002815501821795	-5.87261476621057	10	10
991	-0.43010778371205	0.829775266318236	-0.425064699461662	0.994573260049688	0.135398275977649	1.86549589890562	0.121616063415719	0.121616063415719	6.39	1.85473426838944	0.011589944498857	-4.45761741035141	10	10
992	-0.364932231386734	0.848317787250413	-0.425064699461662	0.994573260049688	-0.0532130994774053	-0.205918985791074	-0.155380672987182	-0.155380672987182	3.87	1.35325450704169	0.019581056466302	-3.93319268693586	10	10
972	-0.364932231386734	0.827837988011889	-0.425064699461662	0.994573260049688	-0.302449559900155	0.70697938069612	-0.968752653471245	-0.968752653471245	0.54	-0.616186139423817	0.00152749490835	-6.4841262002463	10	10
993	-0.364932231386734	0.848317787250413	-0.425064699461662	0.994573260049688	-0.187935510516729	1.58878017003392	0.0428778192496227	0.0428778192496227	2.07	0.727548607277278	0.00410640956972	-5.49520621628068	10	10
995	-0.305187975088527	0.878760732064437	-0.425064699461662	0.994573260049688	-0.228352233828527	1.54239734309924	0.111001355213367	0.111001355213367	1.53	0.425267735404344	0.003083620533285	-5.78165087453347	10	10
994	-0.326913159196966	0.85745067069462	-0.425064699461662	0.994573260049688	-0.302449559900155	0.695383673962449	1.41431342144204	1.41431342144204	0.54	-0.616186139423817	0.001536098310292	-6.47850964220857	10	10
1000	-0.288894087007198	0.96815228820016	-0.504645392075568	0.994573260049688	-0.262032836588358	-1.04028279303659	0.852059110369806	0.852059110369806	1.08	0.076961041136128	0.019575856443719	-3.93345828614821	10	10
1016	-0.321481863169857	0.96815228820016	-0.504645392075568	0.994573260049688	0.290329048672871	-1.26270953129155	-0.732863619361188	-0.732863619361188	8.46	2.13534917361813	0.492146596858639	-0.708978645776626	10	10
999	-0.288894087007198	0.96815228820016	-0.504645392075568	0.994573260049688	-0.228352233828527	-1.3359733147452	-0.443028275704179	-0.443028275704179	1.53	0.425267735404344	0.326923076923077	-1.11803037452521	10	10
998	-0.348638343305405	0.96815228820016	-0.504645392075568	0.994573260049688	-0.282241198244256	-1.31278190127786	0.16472605713799	0.16472605713799	0.81	-0.210721031315653	0.09375	-2.36712361413162	10	10
1015	-0.408382599603611	0.96815228820016	-0.504645392075568	0.994573260049688	0.135398275977649	-0.888484450341256	0.277897318771536	0.277897318771536	6.39	1.85473426838944	0.078801331853496	-2.54082538056702	10	10
1014	-0.392088711522282	0.936602327211081	-0.448938907245834	0.994573260049688	-0.282241198244256	-0.974398095686183	0.540746737609142	0.540746737609142	0.81	-0.210721031315653	0.01219512195122	-4.40671924726425	10	10
2014	-0.326913159196966	0.924148395241708	-0.425064699461662	0.994573260049688	-0.336130162659986	-0.426237413730824	0.452670711048126	0.452670711048126	0.09	-2.40794560865187	0.000562429696288	-7.48324441607385	10	10
1013	-0.326913159196966	0.921934362891597	-0.425064699461662	0.994573260049688	-0.309185680452121	0.12930235432778	0.323083193014425	0.323083193014425	0.45	-0.798507696217772	0.001765536723164	-6.33930054237951	10	10
2015	-0.326913159196966	0.924148395241708	-0.425064699461662	0.994573260049688	-0.208143872172628	-0.136344745389047	0.126884084711863	0.126884084711863	1.8	0.587786664902119	0.008591065292096	-4.75703253529734	10	10
1008	-0.316050567142747	0.885126075071005	-0.425064699461662	0.994573260049688	-0.282241198244256	1.22088002002927	0.0916952570798247	0.0916952570798247	0.81	-0.210721031315653	0.0018356108505	-6.30037796431501	10	10
2019	-0.294325383034308	0.885126075071005	-0.425064699461662	0.994573260049688	-0.288977318796223	0.335916765218646	-0.324110237770159	-0.324110237770159	0.72	-0.328504066972036	0.002481389578164	-5.99893656194668	10	10
1070	0.118453115026027	0.719073648812696	-0.663806777303377	0.410334743831894	0.121926034873716	-0.551681877485992	1.14852212793571	1.14852212793571	6.21	1.82616089594539	0.044805194805195	-3.10543119081041	9	9
1570	-0.272600198925869	0.645180319127749	-0.345484006847757	0.994573260049688	-0.32939404210802	-1.05451388766427	0.466251769865523	0.466251769865523	0.18	-1.71479842809193	0.003412969283276	-5.68017260901707	9	9
1104	-0.240012422763211	0.609479047482212	-0.0669515826990894	0.994573260049688	-0.0599492200293715	1.45226707712389	2.30048966289731	2.30048966289731	3.78	1.3297240096315	0.007862223886185	-4.84568577538654	9	9
1106	-0.180268166465005	0.636047435683541	-0.345484006847757	0.994573260049688	-0.0801575816852701	0.227865861563984	1.88333830033544	1.88333830033544	3.51	1.25561603747777	0.012918184829414	-4.34911928357719	9	9
1067	0.335704956110415	0.608372031307156	-0.663806777303377	0.410334743831894	0.458732062472027	1.64096085033544	0.529941363759737	0.529941363759737	10.71	2.37117788445966	0.020877192982456	-3.86909796071111	9	9
1065	0.384586620354401	0.608372031307156	-0.663806777303377	0.410334743831894	-0.27550507769229	0.16356239694999	1.05828963778308	1.05828963778308	0.9	-0.105360515657826	0.003451846738005	-5.6688459047753	9	9
1097	0.123884411053137	0.598685639775422	-0.448938907245834	0.410334743831894	-0.309185680452121	0.667448562285878	1.30482595878088	1.30482595878088	0.45	-0.798507696217772	0.001297690111601	-6.64716943219206	9	9
1105	-0.240012422763211	0.609479047482212	-0.0669515826990894	0.994573260049688	-0.0195324967175742	-0.103665935503247	1.76999570428734	1.76999570428734	4.32	1.46325540225602	0.020083682008368	-3.90784763401766	9	9
1119	-0.25630631084454	0.616951406663836	-0.146532275312995	0.994573260049688	-0.221616113276561	0.837167542660518	0.576478739321498	0.576478739321498	1.62	0.482426149244293	0.004311377245509	-5.44649787938879	9	9
1118	-0.245443718790321	0.553021222554387	0.529903611905198	0.994573260049688	-0.322657921556054	1.37847621609143	1.15376694942071	1.15376694942071	0.27	-1.30933331998376	0.000576701268743	-7.45818615734049	9	9
1103	-0.153111686329457	0.553021222554387	0.529903611905198	0.994573260049688	-0.336130162659986	-0.346648699331536	1.54521999901391	1.54521999901391	0.09	-2.40794560865187	0.000518403317781	-7.56475701290573	9	9
1117	-0.223718534681882	0.553021222554387	0.529903611905198	0.410334743831894	-0.201407751620662	2.24815422111676	1.85629967186173	1.85629967186173	1.89	0.636576829071551	0.003064798598949	-5.78777342172059	9	9
