param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[100]	1.06	2	-2.78	1.01	5.15	1
logWET.p[101]	1.07	2	-2.78	1.02	5.21	1
logWET.p[102]	1.07	1.99	-2.78	1.02	5.14	1
logWET.p[103]	1.07	1.99	-2.76	1.03	5.13	1
logWET.p[104]	1.13	1.99	-2.66	1.08	5.26	1
logWET.p[105]	1.08	1.99	-2.71	1.02	5.18	1
logWET.p[106]	1.07	1.99	-2.73	1.02	5.16	1
logWET.p[107]	1.08	2	-2.74	1.03	5.23	1
logWET.p[108]	1.08	2	-2.75	1.03	5.24	1
logWET.p[109]	1.07	2	-2.75	1.01	5.2	1
logWET.p[110]	1.09	2	-2.73	1.05	5.22	1
logWET.p[111]	0.52	1.84	-3.15	0.51	4.18	1
logWET.p[112]	0.56	1.83	-3.04	0.54	4.24	1
logWET.p[113]	0.57	1.83	-3.03	0.55	4.27	1
logWET.p[114]	1.26	2	-2.57	1.2	5.41	1
logWET.p[115]	0.25	1.99	-3.73	0.26	4.18	1
logWET.p[116]	0.2	1.99	-3.84	0.22	4.13	1
logWET.p[117]	0.3	1.98	-3.64	0.31	4.21	1
logWET.p[118]	0.5	2.03	-3.5	0.5	4.54	1
logWET.p[119]	0.22	1.99	-3.78	0.22	4.21	1
logWET.p[120]	1.43	2	-2.55	1.41	5.46	1
logWET.p[121]	1.46	1.99	-2.46	1.44	5.48	1
logWET.p[122]	1.42	1.98	-2.5	1.41	5.36	1
logWET.p[123]	1.43	1.99	-2.55	1.44	5.38	1
logWET.p[124]	1.42	1.98	-2.55	1.42	5.36	1
logWET.p[125]	0.22	1.98	-3.73	0.22	4.16	1
logWET.p[126]	0.5	2.01	-3.49	0.5	4.51	1
logWET.p[127]	0.3	1.98	-3.69	0.31	4.2	1
logWET.p[128]	0.32	1.98	-3.62	0.32	4.23	1
logWET.p[129]	0.3	1.97	-3.63	0.31	4.2	1
logWET.p[130]	0.31	1.98	-3.66	0.33	4.21	1
logWET.p[131]	0.3	1.98	-3.67	0.32	4.21	1
logWET.p[132]	-0.33	1.86	-4.03	-0.33	3.37	1
logWET.p[133]	-0.12	1.84	-3.78	-0.12	3.54	1
logWET.p[134]	-0.13	1.86	-3.83	-0.13	3.56	1
logWET.p[135]	0.27	1.84	-3.34	0.23	4.03	1
logWET.p[136]	0.58	1.89	-3.08	0.56	4.39	1
logWET.p[137]	0.3	1.85	-3.26	0.27	4.07	1
logWET.p[138]	0.3	1.85	-3.32	0.27	4.07	1
logWET.p[139]	0.3	1.86	-3.29	0.27	4.06	1
logWET.p[140]	0.96	1.84	-2.64	0.94	4.69	1
logWET.p[141]	1.53	1.84	-2.06	1.5	5.32	1
logWET.p[142]	0.97	1.85	-2.67	0.94	4.72	1
logWET.p[143]	0.96	1.84	-2.64	0.95	4.72	1
logWET.p[144]	0.96	1.84	-2.68	0.94	4.72	1
logWET.p[145]	0.6	1.84	-2.97	0.56	4.37	1
logWET.p[146]	0.6	1.84	-3.02	0.56	4.36	1
logWET.p[147]	0.59	1.85	-3.01	0.56	4.35	1
logWET.p[148]	0.6	1.84	-2.97	0.57	4.33	1
logWET.p[149]	0.59	1.83	-3.02	0.58	4.31	1
logWET.p[150]	0.57	1.84	-3.03	0.55	4.3	1
logWET.p[151]	0.59	1.84	-2.99	0.55	4.33	1
logWET.p[152]	0.34	1.83	-3.29	0.32	4.01	1
logWET.p[153]	0.31	1.85	-3.34	0.29	4.05	1
logWET.p[154]	0.6	1.85	-2.99	0.58	4.36	1
logWET.p[155]	0.56	1.85	-3.06	0.54	4.3	1
logWET.p[156]	0.23	1.85	-3.35	0.21	4	1
logWET.p[157]	0.51	1.89	-3.18	0.49	4.34	1
logWET.p[158]	0.22	1.85	-3.4	0.2	3.98	1
logWET.p[159]	0.23	1.85	-3.39	0.2	4	1
logWET.p[160]	0.12	1.85	-3.49	0.1	3.88	1
logWET.p[161]	0.09	1.84	-3.48	0.06	3.83	1
logWET.p[162]	0.1	1.85	-3.53	0.07	3.86	1
logWET.p[163]	-0.05	1.84	-3.68	-0.06	3.64	1
