param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[141]	1.75	1.92	-1.93	1.7	5.71	1.01
logWET.p[142]	1.17	1.91	-2.52	1.13	5.07	1.01
logWET.p[143]	1.18	1.92	-2.53	1.15	5.08	1.01
logWET.p[144]	1.17	1.91	-2.5	1.13	5.12	1.01
logWET.p[145]	0.81	1.91	-2.86	0.77	4.72	1.01
logWET.p[146]	0.81	1.9	-2.88	0.78	4.73	1.01
logWET.p[147]	0.81	1.9	-2.87	0.78	4.73	1.01
logWET.p[148]	0.81	1.91	-2.87	0.76	4.7	1.01
logWET.p[149]	0.81	1.91	-2.87	0.77	4.7	1.01
logWET.p[150]	0.79	1.9	-2.88	0.75	4.69	1.01
logWET.p[151]	0.79	1.91	-2.88	0.75	4.76	1.01
logWET.p[152]	0.52	1.91	-3.19	0.5	4.42	1.01
logWET.p[153]	0.53	1.91	-3.22	0.49	4.41	1.01
logWET.p[154]	0.81	1.91	-2.86	0.77	4.74	1.01
logWET.p[155]	0.78	1.9	-2.9	0.74	4.69	1.01
logWET.p[156]	0.44	1.92	-3.25	0.39	4.39	1.01
logWET.p[157]	0.71	1.95	-3.12	0.68	4.67	1.01
logWET.p[158]	0.44	1.92	-3.24	0.4	4.38	1.01
logWET.p[159]	0.44	1.91	-3.22	0.39	4.36	1.01
logWET.p[160]	0.33	1.92	-3.36	0.29	4.27	1.01
logWET.p[161]	0.3	1.91	-3.39	0.27	4.21	1.01
logWET.p[162]	0.29	1.92	-3.4	0.26	4.23	1.01
logWET.p[163]	0.16	1.91	-3.58	0.13	4.04	1.01
logWET.p[164]	0.41	1.91	-3.38	0.39	4.25	1.01
logWET.p[165]	0.52	1.91	-3.19	0.5	4.42	1.01
logWET.p[166]	0.5	1.91	-3.19	0.46	4.41	1.01
logWET.p[167]	0.5	1.9	-3.22	0.47	4.36	1.01
logWET.p[168]	0.53	1.89	-3.14	0.51	4.37	1.01
logWET.p[169]	0.55	1.9	-3.13	0.52	4.42	1.01
logWET.p[170]	0.55	1.9	-3.15	0.52	4.39	1.01
logWET.p[171]	0.54	1.9	-3.17	0.51	4.38	1.01
logWET.p[172]	0.53	1.9	-3.18	0.51	4.39	1.01
logWET.p[173]	0.55	1.9	-3.15	0.52	4.41	1.01
logWET.p[174]	0.53	1.89	-3.16	0.51	4.38	1.01
logWET.p[175]	0.49	1.89	-3.23	0.48	4.33	1.01
logWET.p[176]	0.33	1.9	-3.45	0.32	4.14	1.01
logWET.p[177]	1.09	1.9	-2.6	1.06	4.98	1.01
logWET.p[178]	1.09	1.9	-2.58	1.05	4.98	1.01
logWET.p[179]	1.09	1.91	-2.62	1.06	5.01	1.01
logWET.p[180]	1.24	1.91	-2.44	1.2	5.18	1.01
logWET.p[181]	1.15	1.9	-2.54	1.12	4.99	1.01
logWET.p[182]	1.33	1.9	-2.34	1.29	5.23	1.01
logWET.p[183]	1.34	1.91	-2.37	1.3	5.28	1.01
logWET.p[184]	1.27	1.9	-2.42	1.24	5.21	1.01
logWET.p[185]	1.27	1.91	-2.43	1.23	5.18	1.01
logWET.p[186]	1.25	1.9	-2.42	1.22	5.14	1.01
logWET.p[187]	3.65	1.93	-0.06	3.6	7.61	1.01
logWET.p[188]	3.64	1.93	-0.07	3.6	7.58	1.01
logWET.p[189]	3.64	1.93	-0.05	3.6	7.62	1.01
logWET.p[190]	3.64	1.92	-0.03	3.59	7.58	1.01
logWET.p[191]	3.58	1.92	-0.12	3.53	7.52	1.01
logWET.p[192]	3.43	1.91	-0.3	3.4	7.34	1.01
logWET.p[193]	3.42	1.91	-0.29	3.39	7.31	1.01
logWET.p[194]	3.49	1.92	-0.24	3.45	7.42	1.01
logWET.p[195]	3.53	1.92	-0.18	3.49	7.46	1.01
logWET.p[196]	3.44	1.92	-0.31	3.41	7.34	1.01
logWET.p[197]	3.36	1.91	-0.39	3.33	7.2	1.01
logWET.p[198]	3.42	1.91	-0.28	3.39	7.32	1.01
logWET.p[199]	3.37	1.92	-0.36	3.35	7.28	1.01
logWET.p[200]	3.45	1.91	-0.27	3.42	7.32	1.01
logWET.p[201]	3.45	1.91	-0.26	3.42	7.35	1.01
logWET.p[202]	3.45	1.9	-0.25	3.43	7.33	1.01
logWET.p[203]	3.45	1.91	-0.27	3.42	7.34	1.01
logWET.p[204]	3.47	1.92	-0.24	3.44	7.39	1.01
logWET.p[205]	3.46	1.9	-0.2	3.43	7.38	1.01
logWET.p[206]	3.47	1.91	-0.24	3.45	7.36	1.01
logWET.p[207]	3.63	1.92	-0.03	3.58	7.58	1.01
logWET.p[208]	3.64	1.92	-0.07	3.59	7.6	1.01
logWET.p[209]	3.64	1.92	-0.06	3.59	7.62	1.01
logWET.p[210]	3.64	1.92	-0.06	3.58	7.62	1.01
logWET.p[211]	1.26	1.91	-2.46	1.24	5.17	1.01
logWET.p[212]	1.4	1.92	-2.28	1.35	5.34	1.01
logWET.p[213]	1.28	1.91	-2.42	1.25	5.2	1.01
logWET.p[214]	1.29	1.92	-2.46	1.24	5.22	1.01
logWET.p[215]	1.27	1.9	-2.41	1.23	5.14	1.01
logWET.p[216]	1.28	1.91	-2.4	1.25	5.2	1.01
logWET.p[217]	1.4	1.91	-2.25	1.35	5.35	1.01
logWET.p[218]	1.39	1.92	-2.33	1.35	5.38	1.01
logWET.p[219]	1.4	1.92	-2.25	1.34	5.36	1.01
logWET.p[220]	1.39	1.91	-2.27	1.34	5.35	1.01
logWET.p[221]	1.22	1.91	-2.43	1.17	5.17	1.01
logWET.p[222]	1.32	1.92	-2.34	1.25	5.29	1.01
logWET.p[223]	1.32	1.92	-2.33	1.28	5.3	1.01
logWET.p[224]	1.28	1.91	-2.37	1.22	5.26	1.01
logWET.p[225]	1.29	1.91	-2.36	1.23	5.26	1.01
logWET.p[226]	1.21	1.91	-2.49	1.17	5.15	1.01
logWET.p[227]	1.2	1.92	-2.47	1.16	5.15	1.01
logWET.p[228]	1.21	1.91	-2.44	1.16	5.16	1.01
logWET.p[229]	1.21	1.91	-2.47	1.16	5.14	1.01
logWET.p[230]	2.18	2.07	-1.74	2.13	6.46	1.01
logWET.p[231]	1.29	1.91	-2.37	1.24	5.26	1.01
logWET.p[232]	1.31	1.91	-2.36	1.26	5.32	1.01
logWET.p[233]	1.32	1.92	-2.35	1.27	5.33	1.01
logWET.p[234]	1.31	1.9	-2.32	1.26	5.26	1.01
logWET.p[235]	0.81	1.99	-3.09	0.79	4.79	1
logWET.p[236]	2.23	1.99	-1.6	2.18	6.28	1.01
logWET.p[237]	2.27	1.99	-1.56	2.23	6.36	1.01
logWET.p[238]	1.44	1.93	-2.22	1.38	5.45	1.01
logWET.p[239]	1.64	1.91	-2.08	1.6	5.53	1.01
logWET.p[240]	1.64	1.91	-2.02	1.59	5.57	1.01
logWET.p[241]	2.31	2	-1.56	2.28	6.41	1.01
logWET.p[242]	2.3	1.99	-1.51	2.25	6.38	1.01
logWET.p[243]	1.64	1.92	-2.05	1.59	5.59	1.01
logWET.p[244]	1.17	1.92	-2.54	1.13	5.11	1.01
logWET.p[245]	1.7	1.91	-1.97	1.66	5.64	1.01
logWET.p[246]	1.73	1.91	-1.95	1.67	5.7	1.01
logWET.p[247]	1.75	1.92	-1.91	1.69	5.7	1.01
logWET.p[248]	1.75	1.92	-1.92	1.71	5.72	1.01
logWET.p[249]	1.17	1.91	-2.54	1.13	5.1	1.01
logWET.p[250]	1.75	1.93	-1.92	1.71	5.74	1.01
logWET.p[251]	1.74	1.92	-1.93	1.7	5.7	1.01
logWET.p[252]	1.75	1.91	-1.95	1.69	5.68	1.01
