param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[1]	0.85	1.92	-2.82	0.81	4.82	1.01
logWET.p[2]	0.85	1.92	-2.84	0.8	4.8	1.01
logWET.p[3]	0.83	1.92	-2.84	0.77	4.78	1.01
logWET.p[4]	0.72	1.92	-2.99	0.68	4.7	1.01
logWET.p[5]	0.99	1.95	-2.81	0.97	4.95	1
logWET.p[6]	0.81	1.92	-2.87	0.76	4.76	1.01
logWET.p[7]	0.87	1.92	-2.82	0.82	4.83	1.01
logWET.p[8]	0.87	1.91	-2.79	0.82	4.83	1.01
logWET.p[9]	0.86	1.91	-2.79	0.81	4.83	1.01
logWET.p[10]	0.87	1.92	-2.77	0.82	4.85	1.01
logWET.p[11]	0.85	1.92	-2.82	0.8	4.81	1.01
logWET.p[12]	0.9	1.92	-2.73	0.84	4.89	1.01
logWET.p[13]	0.9	1.92	-2.75	0.85	4.9	1.01
logWET.p[14]	0.89	1.93	-2.82	0.84	4.91	1.01
logWET.p[15]	0.9	1.92	-2.75	0.84	4.91	1.01
logWET.p[16]	1.55	1.93	-2.11	1.48	5.61	1.01
logWET.p[17]	1.47	1.92	-2.14	1.41	5.48	1.01
logWET.p[18]	1.45	1.92	-2.23	1.38	5.44	1.01
logWET.p[19]	1.7	1.91	-2	1.65	5.65	1.01
logWET.p[20]	1.71	1.91	-1.95	1.67	5.62	1.01
logWET.p[21]	1.76	1.92	-1.95	1.72	5.71	1.01
logWET.p[22]	1.74	1.92	-1.94	1.7	5.7	1.01
logWET.p[23]	1.72	1.92	-2.01	1.67	5.68	1.01
logWET.p[24]	1.74	1.92	-1.92	1.69	5.72	1.01
logWET.p[25]	1.18	1.91	-2.51	1.14	5.12	1.01
logWET.p[26]	1.19	1.92	-2.53	1.14	5.11	1.01
logWET.p[27]	1.75	1.92	-1.92	1.7	5.72	1.01
logWET.p[28]	1.16	1.91	-2.52	1.12	5.11	1.01
logWET.p[29]	1.17	1.91	-2.51	1.14	5.09	1.01
logWET.p[30]	1.18	1.92	-2.53	1.14	5.14	1.01
logWET.p[31]	1.18	1.92	-2.53	1.14	5.12	1.01
logWET.p[32]	1.75	1.93	-1.94	1.69	5.73	1.01
logWET.p[33]	1.18	1.91	-2.5	1.14	5.11	1.01
logWET.p[34]	1.18	1.92	-2.52	1.14	5.11	1.01
logWET.p[35]	1.17	1.91	-2.54	1.13	5.1	1.01
logWET.p[36]	1.72	1.92	-1.98	1.67	5.66	1.01
logWET.p[37]	1.16	1.91	-2.54	1.12	5.07	1.01
logWET.p[38]	1.17	1.92	-2.52	1.14	5.08	1.01
logWET.p[39]	1.1	1.9	-2.56	1.07	4.98	1.01
logWET.p[40]	1.13	1.91	-2.57	1.1	5.06	1.01
logWET.p[41]	1.13	1.91	-2.6	1.08	5.06	1.01
logWET.p[42]	1.13	1.91	-2.57	1.1	5.03	1.01
logWET.p[43]	1.12	1.91	-2.6	1.08	5.04	1.01
logWET.p[44]	1.71	1.92	-1.99	1.66	5.68	1.01
logWET.p[45]	1.13	1.92	-2.58	1.09	5.05	1.01
logWET.p[46]	1.13	1.9	-2.54	1.09	5.01	1.01
logWET.p[47]	1.14	1.91	-2.55	1.1	5.02	1.01
logWET.p[48]	1.65	1.97	-2.14	1.61	5.69	1.01
logWET.p[49]	1.66	1.98	-2.17	1.61	5.75	1.01
logWET.p[50]	0.59	1.89	-3.16	0.6	4.36	1.01
logWET.p[51]	0.58	1.9	-3.19	0.58	4.38	1.01
logWET.p[52]	0.55	1.89	-3.17	0.54	4.34	1.01
logWET.p[53]	0.93	1.9	-2.81	0.92	4.74	1
logWET.p[54]	0.8	1.89	-2.89	0.77	4.62	1.01
logWET.p[55]	1.03	1.91	-2.73	1.01	4.88	1
logWET.p[56]	1.05	1.89	-2.66	1.03	4.88	1.01
logWET.p[57]	1.07	1.9	-2.64	1.04	4.93	1.01
logWET.p[58]	1.09	1.89	-2.6	1.05	4.92	1.01
logWET.p[59]	1.06	1.9	-2.63	1.03	4.9	1.01
logWET.p[60]	1.1	1.9	-2.62	1.06	4.99	1.01
logWET.p[61]	1.15	1.9	-2.53	1.13	5.05	1.01
logWET.p[62]	1.11	1.9	-2.58	1.08	4.97	1.01
logWET.p[63]	1.31	1.91	-2.35	1.25	5.26	1.01
logWET.p[64]	1.31	1.91	-2.38	1.26	5.24	1.01
logWET.p[65]	1.3	1.9	-2.34	1.25	5.22	1.01
logWET.p[66]	1.3	1.91	-2.37	1.26	5.25	1.01
logWET.p[67]	1.31	1.91	-2.34	1.26	5.28	1.01
logWET.p[68]	1.24	1.91	-2.46	1.19	5.18	1.01
logWET.p[69]	1.22	1.92	-2.47	1.18	5.14	1.01
logWET.p[70]	1.2	1.91	-2.46	1.16	5.14	1.01
logWET.p[71]	1.22	1.91	-2.51	1.18	5.14	1.01
logWET.p[72]	1.16	1.91	-2.53	1.12	5.08	1.01
logWET.p[73]	1.15	1.9	-2.54	1.1	5.03	1.01
logWET.p[74]	1.35	2.09	-2.66	1.29	5.65	1
logWET.p[75]	1.2	2.08	-2.75	1.14	5.49	1
logWET.p[76]	1.11	2.07	-2.85	1.05	5.38	1.01
logWET.p[77]	1.2	2.08	-2.79	1.13	5.5	1
logWET.p[78]	1.09	2.06	-2.89	1.05	5.31	1
logWET.p[79]	1.11	2.07	-2.86	1.05	5.4	1.01
logWET.p[80]	1.13	2.07	-2.84	1.07	5.39	1.01
logWET.p[81]	0.06	2.17	-4.15	0.03	4.5	1
logWET.p[82]	0.92	2.08	-3.07	0.86	5.21	1.01
logWET.p[83]	2.92	2.14	-1.17	2.88	7.31	1
logWET.p[84]	0.88	2.06	-3.07	0.84	5.08	1
logWET.p[85]	0.89	2.06	-3.14	0.86	5.09	1
logWET.p[86]	0.87	2.06	-3.14	0.85	5.07	1
logWET.p[87]	1.15	2.08	-2.87	1.11	5.41	1
logWET.p[88]	2.52	2.2	-1.72	2.47	7.01	1
logWET.p[89]	1.35	2.19	-3	1.35	5.7	1
logWET.p[90]	0.75	2.06	-3.34	0.75	4.9	1
logWET.p[91]	0.77	2.07	-3.31	0.77	4.9	1
logWET.p[92]	1.35	2.07	-2.58	1.3	5.65	1
logWET.p[93]	0.4	2.07	-3.79	0.42	4.45	1
logWET.p[94]	0.4	2.06	-3.75	0.42	4.45	1
logWET.p[95]	1.36	2.09	-2.63	1.3	5.67	1
logWET.p[96]	1.34	2.07	-2.64	1.28	5.62	1
logWET.p[97]	1.35	2.08	-2.64	1.28	5.66	1
logWET.p[98]	1.34	2.08	-2.64	1.28	5.64	1
logWET.p[99]	1.37	2.07	-2.58	1.31	5.65	1
logWET.p[100]	1.37	2.09	-2.62	1.31	5.71	1
logWET.p[101]	1.37	2.08	-2.57	1.32	5.72	1
logWET.p[102]	1.38	2.09	-2.6	1.31	5.7	1
logWET.p[103]	1.38	2.09	-2.62	1.32	5.72	1
logWET.p[104]	1.44	2.09	-2.54	1.37	5.77	1
logWET.p[105]	1.39	2.11	-2.6	1.33	5.79	1
logWET.p[106]	1.37	2.09	-2.6	1.31	5.71	1
logWET.p[107]	1.38	2.09	-2.58	1.31	5.74	1
logWET.p[108]	1.38	2.1	-2.58	1.31	5.79	1.01
logWET.p[109]	1.4	2.09	-2.58	1.32	5.72	1
logWET.p[110]	1.39	2.09	-2.62	1.32	5.77	1
logWET.p[111]	0.71	1.9	-2.99	0.68	4.57	1
logWET.p[112]	0.77	1.91	-2.95	0.73	4.64	1.01
logWET.p[113]	0.77	1.9	-2.93	0.75	4.65	1.01
logWET.p[114]	1.58	2.1	-2.38	1.5	5.99	1
logWET.p[115]	0.48	2.05	-3.59	0.48	4.61	1
logWET.p[116]	0.43	2.05	-3.66	0.44	4.49	1
logWET.p[117]	0.54	2.05	-3.51	0.53	4.62	1
logWET.p[118]	0.75	2.1	-3.38	0.73	4.99	1
logWET.p[119]	0.48	2.07	-3.59	0.46	4.69	1.01
logWET.p[120]	1.69	2.08	-2.36	1.67	5.91	1.01
logWET.p[121]	1.72	2.07	-2.33	1.69	5.92	1
logWET.p[122]	1.67	2.06	-2.39	1.65	5.83	1
logWET.p[123]	1.67	2.06	-2.43	1.65	5.82	1
logWET.p[124]	1.67	2.07	-2.4	1.66	5.86	1
logWET.p[125]	0.48	2.07	-3.6	0.46	4.63	1
logWET.p[126]	0.74	2.1	-3.4	0.72	4.95	1
logWET.p[127]	0.54	2.05	-3.47	0.53	4.67	1
logWET.p[128]	0.56	2.06	-3.48	0.56	4.68	1
logWET.p[129]	0.55	2.06	-3.52	0.54	4.7	1
logWET.p[130]	0.55	2.06	-3.5	0.55	4.64	1
logWET.p[131]	0.53	2.05	-3.58	0.53	4.66	1
logWET.p[132]	-0.13	1.91	-3.89	-0.15	3.73	1.01
logWET.p[133]	0.07	1.91	-3.71	0.05	3.94	1.01
logWET.p[134]	0.06	1.91	-3.69	0.04	3.94	1.01
logWET.p[135]	0.48	1.92	-3.23	0.44	4.45	1.01
logWET.p[136]	0.8	1.95	-2.98	0.77	4.78	1.01
logWET.p[137]	0.51	1.92	-3.17	0.48	4.47	1.01
logWET.p[138]	0.51	1.92	-3.18	0.47	4.44	1.01
logWET.p[139]	0.51	1.91	-3.16	0.46	4.45	1.01
logWET.p[140]	1.17	1.92	-2.55	1.13	5.13	1.01
