param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[1]	1.36	1.86	-2.05	1.26	5.33	1
logWET.p[2]	1.36	1.87	-2.06	1.26	5.35	1
logWET.p[3]	1.34	1.86	-2.07	1.24	5.32	1
logWET.p[4]	1.23	1.85	-2.16	1.14	5.18	1
logWET.p[5]	1.53	1.88	-1.97	1.45	5.48	1
logWET.p[6]	1.34	1.86	-2.07	1.24	5.31	1
logWET.p[7]	1.37	1.87	-2.02	1.26	5.39	1
logWET.p[8]	1.37	1.87	-2.01	1.27	5.38	1
logWET.p[9]	1.37	1.86	-2.03	1.28	5.33	1
logWET.p[10]	1.36	1.87	-2.04	1.27	5.37	1
logWET.p[11]	1.37	1.88	-2.03	1.27	5.38	1
logWET.p[12]	1.4	1.87	-2.01	1.3	5.41	1
logWET.p[13]	1.4	1.88	-2.02	1.31	5.41	1
logWET.p[14]	1.39	1.87	-2.01	1.3	5.39	1
logWET.p[15]	1.4	1.89	-2.01	1.3	5.44	1
logWET.p[16]	2.03	1.9	-1.42	1.92	6.1	1
logWET.p[17]	1.95	1.88	-1.46	1.85	6.01	1
logWET.p[18]	1.93	1.88	-1.48	1.83	5.99	1
logWET.p[19]	2.21	1.86	-1.2	2.12	6.16	1
logWET.p[20]	2.2	1.86	-1.2	2.12	6.17	1
logWET.p[21]	2.24	1.87	-1.16	2.14	6.2	1
logWET.p[22]	2.24	1.86	-1.16	2.14	6.22	1
logWET.p[23]	2.22	1.86	-1.16	2.13	6.21	1
logWET.p[24]	2.24	1.86	-1.18	2.15	6.28	1
logWET.p[25]	1.69	1.86	-1.73	1.59	5.66	1
logWET.p[26]	1.69	1.85	-1.7	1.59	5.66	1
logWET.p[27]	2.24	1.86	-1.18	2.13	6.24	1
logWET.p[28]	1.69	1.85	-1.69	1.6	5.66	1
logWET.p[29]	1.69	1.86	-1.71	1.6	5.62	1
logWET.p[30]	1.69	1.86	-1.69	1.6	5.68	1
logWET.p[31]	1.69	1.85	-1.71	1.61	5.66	1
logWET.p[32]	2.24	1.86	-1.15	2.14	6.2	1
logWET.p[33]	1.7	1.86	-1.7	1.61	5.62	1
logWET.p[34]	1.68	1.86	-1.71	1.59	5.65	1
logWET.p[35]	1.69	1.86	-1.71	1.59	5.66	1
logWET.p[36]	2.21	1.85	-1.17	2.11	6.17	1
logWET.p[37]	1.68	1.86	-1.75	1.58	5.65	1
logWET.p[38]	1.7	1.85	-1.68	1.61	5.64	1
logWET.p[39]	1.62	1.86	-1.79	1.53	5.59	1
