param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[40]	1.65	1.84	-1.72	1.56	5.54	1
logWET.p[41]	1.66	1.85	-1.72	1.57	5.59	1
logWET.p[42]	1.66	1.85	-1.75	1.57	5.59	1
logWET.p[43]	1.65	1.85	-1.75	1.57	5.57	1
logWET.p[44]	2.21	1.86	-1.18	2.12	6.18	1
logWET.p[45]	1.66	1.85	-1.76	1.58	5.59	1
logWET.p[46]	1.65	1.85	-1.76	1.57	5.6	1
logWET.p[47]	1.66	1.85	-1.72	1.58	5.57	1
logWET.p[48]	2.18	1.94	-1.37	2.08	6.34	1
logWET.p[49]	2.17	1.93	-1.37	2.07	6.28	1
logWET.p[50]	1.19	1.8	-2.18	1.13	4.92	1
logWET.p[51]	1.16	1.8	-2.23	1.1	4.94	1
logWET.p[52]	1.13	1.81	-2.24	1.06	4.9	1
logWET.p[53]	1.49	1.81	-1.86	1.42	5.28	1
logWET.p[54]	1.36	1.81	-1.99	1.29	5.15	1
logWET.p[55]	1.57	1.81	-1.81	1.5	5.4	1
logWET.p[56]	1.58	1.82	-1.78	1.5	5.44	1
logWET.p[57]	1.6	1.83	-1.8	1.52	5.46	1
logWET.p[58]	1.62	1.82	-1.74	1.54	5.5	1
logWET.p[59]	1.6	1.82	-1.77	1.53	5.4	1
logWET.p[60]	1.62	1.84	-1.77	1.53	5.52	1
logWET.p[61]	1.66	1.84	-1.76	1.57	5.58	1
logWET.p[62]	1.63	1.82	-1.73	1.55	5.51	1
logWET.p[63]	1.81	1.85	-1.57	1.71	5.77	1
logWET.p[64]	1.83	1.86	-1.56	1.72	5.83	1
logWET.p[65]	1.81	1.86	-1.57	1.72	5.81	1
logWET.p[66]	1.82	1.85	-1.53	1.73	5.78	1
logWET.p[67]	1.82	1.86	-1.58	1.72	5.8	1
logWET.p[68]	1.75	1.85	-1.6	1.66	5.69	1
logWET.p[69]	1.72	1.85	-1.66	1.64	5.65	1
logWET.p[70]	1.72	1.84	-1.63	1.63	5.65	1
logWET.p[71]	1.71	1.85	-1.67	1.62	5.62	1
logWET.p[72]	1.66	1.84	-1.71	1.57	5.59	1
logWET.p[73]	1.67	1.83	-1.72	1.58	5.57	1
logWET.p[74]	1.96	2.02	-1.71	1.85	6.19	1
logWET.p[75]	1.79	2.01	-1.86	1.69	6.09	1
logWET.p[76]	1.69	1.99	-1.94	1.59	5.91	1
logWET.p[77]	1.78	2.01	-1.91	1.67	6.09	1
logWET.p[78]	1.73	1.98	-1.91	1.63	5.95	1
logWET.p[79]	1.69	2.01	-1.94	1.58	5.95	1
logWET.p[80]	1.71	2	-1.95	1.6	5.95	1
logWET.p[81]	0.69	2.08	-3.17	0.6	5	1
logWET.p[82]	1.49	2.01	-2.2	1.38	5.72	1
logWET.p[83]	3.49	2.08	-0.33	3.38	7.84	1
logWET.p[84]	1.49	1.98	-2.17	1.41	5.63	1
logWET.p[85]	1.51	1.98	-2.15	1.42	5.7	1
logWET.p[86]	1.51	1.97	-2.13	1.42	5.66	1
logWET.p[87]	1.78	1.99	-1.89	1.68	5.97	1
logWET.p[88]	3.13	2.13	-0.82	3.04	7.61	1
logWET.p[89]	2.06	2.07	-1.87	2.01	6.3	1
logWET.p[90]	1.48	1.96	-2.2	1.41	5.53	1
logWET.p[91]	1.47	1.95	-2.2	1.4	5.57	1
logWET.p[92]	1.96	2.01	-1.74	1.85	6.21	1
logWET.p[93]	1.17	1.92	-2.52	1.12	5.1	1
logWET.p[94]	1.17	1.93	-2.52	1.13	5.11	1
logWET.p[95]	1.95	2.02	-1.73	1.84	6.26	1
logWET.p[96]	1.96	2.01	-1.69	1.86	6.23	1
logWET.p[97]	1.96	2.01	-1.69	1.85	6.24	1
logWET.p[98]	1.97	2.01	-1.69	1.86	6.21	1
logWET.p[99]	1.98	2.01	-1.67	1.87	6.26	1
logWET.p[100]	1.96	2.02	-1.72	1.85	6.27	1
logWET.p[101]	1.96	2.03	-1.75	1.85	6.31	1
logWET.p[102]	1.95	2.02	-1.71	1.84	6.26	1
logWET.p[103]	1.96	2.02	-1.7	1.85	6.24	1
logWET.p[104]	2.03	2.03	-1.66	1.92	6.34	1
logWET.p[105]	1.97	2.04	-1.71	1.84	6.32	1
logWET.p[106]	1.95	2.03	-1.73	1.84	6.27	1
logWET.p[107]	1.95	2.04	-1.75	1.84	6.35	1
logWET.p[108]	1.95	2.04	-1.74	1.84	6.3	1
logWET.p[109]	1.95	2.04	-1.74	1.83	6.29	1
logWET.p[110]	1.95	2.04	-1.72	1.85	6.32	1
logWET.p[111]	1.28	1.81	-2.07	1.21	5.07	1
logWET.p[112]	1.3	1.83	-2.07	1.22	5.19	1
logWET.p[113]	1.3	1.83	-2.05	1.22	5.18	1
logWET.p[114]	2.17	2.04	-1.5	2.04	6.52	1
logWET.p[115]	1.19	1.94	-2.47	1.14	5.24	1
logWET.p[116]	1.15	1.93	-2.51	1.1	5.11	1
logWET.p[117]	1.24	1.94	-2.43	1.17	5.25	1
logWET.p[118]	1.39	2	-2.35	1.32	5.54	1
logWET.p[119]	1.08	1.97	-2.59	1.02	5.18	1
logWET.p[120]	2.32	1.98	-1.38	2.24	6.48	1
logWET.p[121]	2.35	1.98	-1.34	2.27	6.51	1
logWET.p[122]	2.33	1.97	-1.36	2.26	6.46	1
logWET.p[123]	2.33	1.97	-1.36	2.25	6.44	1
logWET.p[124]	2.34	1.96	-1.33	2.26	6.43	1
logWET.p[125]	1.12	1.94	-2.5	1.05	5.16	1
logWET.p[126]	1.39	1.99	-2.34	1.32	5.54	1
logWET.p[127]	1.23	1.94	-2.43	1.16	5.25	1
logWET.p[128]	1.24	1.95	-2.43	1.18	5.3	1
logWET.p[129]	1.23	1.94	-2.44	1.17	5.25	1
logWET.p[130]	1.23	1.93	-2.43	1.16	5.24	1
logWET.p[131]	1.23	1.94	-2.44	1.18	5.23	1
logWET.p[132]	0.4	1.82	-3.02	0.34	4.22	1
logWET.p[133]	0.59	1.83	-2.82	0.51	4.46	1
logWET.p[134]	0.58	1.83	-2.82	0.51	4.43	1
logWET.p[135]	0.98	1.85	-2.43	0.88	4.95	1
logWET.p[136]	1.31	1.89	-2.19	1.23	5.31	1
logWET.p[137]	1.02	1.86	-2.37	0.93	4.98	1
logWET.p[138]	1.01	1.86	-2.41	0.92	4.96	1
logWET.p[139]	1.02	1.85	-2.36	0.92	4.98	1
logWET.p[140]	1.7	1.85	-1.69	1.6	5.64	1
logWET.p[141]	2.25	1.87	-1.15	2.15	6.26	1
logWET.p[142]	1.69	1.86	-1.71	1.6	5.66	1
logWET.p[143]	1.7	1.86	-1.7	1.61	5.66	1
logWET.p[144]	1.7	1.86	-1.71	1.61	5.64	1
logWET.p[145]	1.31	1.85	-2.09	1.22	5.25	1
logWET.p[146]	1.31	1.84	-2.07	1.22	5.24	1
logWET.p[147]	1.3	1.84	-2.08	1.22	5.22	1
logWET.p[148]	1.3	1.84	-2.06	1.21	5.21	1
logWET.p[149]	1.32	1.84	-2.08	1.22	5.24	1
logWET.p[150]	1.28	1.84	-2.08	1.19	5.21	1
logWET.p[151]	1.29	1.84	-2.07	1.2	5.22	1
logWET.p[152]	1.04	1.83	-2.32	0.96	4.91	1
logWET.p[153]	1.03	1.83	-2.37	0.94	4.9	1
logWET.p[154]	1.3	1.85	-2.04	1.21	5.21	1
logWET.p[155]	1.27	1.84	-2.13	1.18	5.2	1
logWET.p[156]	0.94	1.85	-2.45	0.85	4.86	1
logWET.p[157]	1.24	1.88	-2.26	1.17	5.22	1
logWET.p[158]	0.94	1.86	-2.49	0.86	4.88	1
logWET.p[159]	0.94	1.86	-2.46	0.84	4.92	1
logWET.p[160]	0.83	1.86	-2.6	0.74	4.78	1
logWET.p[161]	0.8	1.85	-2.57	0.72	4.73	1
logWET.p[162]	0.81	1.84	-2.59	0.73	4.71	1
logWET.p[163]	0.66	1.83	-2.72	0.59	4.54	1
logWET.p[164]	0.92	1.82	-2.47	0.84	4.76	1
logWET.p[165]	1.02	1.83	-2.35	0.95	4.87	1
logWET.p[166]	1	1.83	-2.39	0.93	4.85	1
logWET.p[167]	1.01	1.84	-2.38	0.92	4.89	1
logWET.p[168]	1.06	1.82	-2.29	0.98	4.9	1
logWET.p[169]	1.07	1.82	-2.31	1.01	4.9	1
logWET.p[170]	1.05	1.82	-2.33	0.99	4.84	1
logWET.p[171]	1.05	1.82	-2.33	0.99	4.89	1
logWET.p[172]	1.07	1.82	-2.31	1	4.89	1
logWET.p[173]	1.06	1.81	-2.3	0.99	4.86	1
logWET.p[174]	1.06	1.82	-2.29	0.98	4.93	1
logWET.p[175]	1.03	1.81	-2.35	0.96	4.84	1
logWET.p[176]	0.88	1.8	-2.5	0.82	4.67	1
logWET.p[177]	1.6	1.83	-1.79	1.52	5.49	1
logWET.p[178]	1.6	1.84	-1.76	1.51	5.5	1
logWET.p[179]	1.6	1.83	-1.77	1.51	5.5	1
logWET.p[180]	1.75	1.84	-1.63	1.67	5.66	1
logWET.p[181]	1.66	1.83	-1.73	1.59	5.52	1
logWET.p[182]	1.84	1.85	-1.53	1.74	5.76	1
logWET.p[183]	1.82	1.84	-1.54	1.74	5.7	1
logWET.p[184]	1.79	1.83	-1.58	1.7	5.69	1
logWET.p[185]	1.79	1.84	-1.58	1.68	5.72	1
logWET.p[186]	1.77	1.83	-1.61	1.69	5.66	1
logWET.p[187]	4.14	1.87	0.7	4.05	8.16	1
logWET.p[188]	4.13	1.87	0.73	4.03	8.13	1
logWET.p[189]	4.14	1.87	0.74	4.05	8.15	1
logWET.p[190]	4.13	1.87	0.71	4.04	8.13	1
logWET.p[191]	4.08	1.86	0.66	4	8.03	1
logWET.p[192]	3.96	1.84	0.58	3.88	7.82	1
logWET.p[193]	3.96	1.85	0.51	3.88	7.87	1
logWET.p[194]	3.99	1.86	0.55	3.89	7.94	1
logWET.p[195]	4.03	1.86	0.64	3.93	7.99	1
logWET.p[196]	3.94	1.84	0.53	3.87	7.81	1
logWET.p[197]	3.89	1.85	0.45	3.82	7.81	1
logWET.p[198]	3.97	1.85	0.55	3.89	7.88	1
logWET.p[199]	3.9	1.83	0.49	3.81	7.78	1
logWET.p[200]	3.96	1.83	0.56	3.89	7.83	1
logWET.p[201]	3.97	1.84	0.56	3.9	7.87	1
logWET.p[202]	3.97	1.83	0.58	3.89	7.85	1
logWET.p[203]	3.97	1.84	0.57	3.89	7.86	1
logWET.p[204]	3.99	1.84	0.58	3.92	7.92	1
logWET.p[205]	3.99	1.84	0.59	3.9	7.89	1
logWET.p[206]	3.99	1.85	0.56	3.91	7.91	1
logWET.p[207]	4.13	1.87	0.73	4.03	8.11	1
logWET.p[208]	4.14	1.87	0.74	4.04	8.16	1
logWET.p[209]	4.14	1.87	0.69	4.04	8.16	1
logWET.p[210]	4.13	1.87	0.71	4.04	8.15	1
logWET.p[211]	1.78	1.84	-1.6	1.69	5.67	1
logWET.p[212]	1.89	1.87	-1.51	1.8	5.87	1
logWET.p[213]	1.8	1.84	-1.58	1.71	5.71	1
logWET.p[214]	1.79	1.84	-1.58	1.71	5.69	1
logWET.p[215]	1.79	1.84	-1.57	1.7	5.69	1
logWET.p[216]	1.8	1.83	-1.59	1.72	5.71	1
logWET.p[217]	1.9	1.86	-1.48	1.81	5.84	1
logWET.p[218]	1.89	1.86	-1.48	1.8	5.87	1
logWET.p[219]	1.88	1.86	-1.51	1.79	5.87	1
logWET.p[220]	1.88	1.86	-1.53	1.78	5.83	1
logWET.p[221]	1.71	1.85	-1.68	1.61	5.69	1
logWET.p[222]	1.81	1.87	-1.58	1.72	5.82	1
logWET.p[223]	1.81	1.86	-1.59	1.71	5.83	1
logWET.p[224]	1.78	1.85	-1.6	1.69	5.73	1
logWET.p[225]	1.77	1.86	-1.62	1.69	5.76	1
logWET.p[226]	1.71	1.86	-1.68	1.6	5.67	1
logWET.p[227]	1.71	1.86	-1.67	1.62	5.7	1
logWET.p[228]	1.7	1.85	-1.68	1.62	5.67	1
logWET.p[229]	1.71	1.85	-1.7	1.62	5.65	1
logWET.p[230]	2.64	2.03	-1.09	2.55	6.96	1
logWET.p[231]	1.78	1.87	-1.62	1.69	5.77	1
logWET.p[232]	1.8	1.86	-1.59	1.71	5.8	1
logWET.p[233]	1.8	1.86	-1.57	1.71	5.82	1
logWET.p[234]	1.81	1.86	-1.56	1.71	5.79	1
logWET.p[235]	1.36	1.91	-2.23	1.3	5.33	1
logWET.p[236]	2.73	1.93	-0.85	2.65	6.81	1
logWET.p[237]	2.78	1.94	-0.8	2.69	6.85	1
logWET.p[238]	1.92	1.89	-1.47	1.81	5.99	1
logWET.p[239]	2.14	1.86	-1.25	2.05	6.08	1
logWET.p[240]	2.13	1.85	-1.25	2.04	6.07	1
logWET.p[241]	2.81	1.94	-0.79	2.72	6.91	1
logWET.p[242]	2.78	1.95	-0.81	2.7	6.89	1
logWET.p[243]	2.13	1.85	-1.26	2.05	6.08	1
logWET.p[244]	1.68	1.85	-1.69	1.59	5.6	1
logWET.p[245]	2.18	1.86	-1.2	2.08	6.18	1
logWET.p[246]	2.22	1.86	-1.19	2.13	6.19	1
logWET.p[247]	2.23	1.87	-1.19	2.14	6.25	1
logWET.p[248]	2.23	1.86	-1.16	2.14	6.21	1
logWET.p[249]	1.69	1.85	-1.69	1.6	5.65	1
logWET.p[250]	2.23	1.86	-1.17	2.14	6.2	1
logWET.p[251]	2.25	1.86	-1.15	2.15	6.18	1
logWET.p[252]	2.25	1.86	-1.14	2.15	6.23	1
