ORIG_FID	CS	RSLR	TR	WH	WETpx	GAINpx	WET96px	NDVI	NDMI	WET	WET96	GAIN	logWET	PCT	logPCT	CHGpx	CHG	HUC4	region
952	0.0214	10.65	0.35	0.5	20	0	3856	0.14003594882302	-0.094275679859706	1.8	347.04	0	0.587786664902119	0.005186721991701	-5.26165338217645	-20	-1.8	0809	10
928	0.0215	10.67	0.35	0.5	25	0	3604	0.113178721833222	-0.067108378566839	2.25	324.36	0	0.810930216216329	0.006936736958935	-4.97092379386003	-25	-2.25	0809	10
927	0.0211	10.6	0.35	0.5	20	0	2870	0.021667738862353	-0.006628717094633	1.8	258.3	0	0.587786664902119	0.006968641114983	-4.96633503519968	-20	-1.8	0809	10
949	0.0209	10.421	0.359	0.5	4	0	1205	0.108829001140867	0.055588550006275	0.36	108.45	0	-1.02165124753198	0.003319502074689	-5.70794048480486	-4	-0.36	0809	10
950	0.0209	10.421	0.359	0.5	27	0	1285	0.091962193722	0.079000545135124	2.43	115.65	0	0.887891257352457	0.021011673151751	-3.86267713132499	-27	-2.43	0809	10
951	0.0209	10.6	0.35	0.5	20	0	907	-0.012421249896841	0.115377886687364	1.8	81.63	0	0.587786664902119	0.022050716648291	-3.81441017656115	-20	-1.8	0809	10
953	0.0224	10.7	0.35	0.5	4	0	4335	0.007841845349177	0.046032400994233	0.36	390.15	0	-1.02165124753198	0.000922722029988	-6.98818252809475	-4	-0.36	0809	10
977	0.0228	10.7	0.35	0.5	33	0	1987	0.009888162278544	-0.056253829419019	2.97	178.83	0	1.08856195281461	0.016607951685959	-4.09787368108534	-33	-2.97	0809	10
932	0.0214	10.7	0.35	0.5	4	0	6449	0.008058619947455	0.085405106046127	0.36	580.41	0	-1.02165124753198	0.000620251201737	-7.38538599789049	-4	-0.36	0809	10
954	0.0224	10.7	0.35	0.5	11	0	2791	0.068908955801099	-0.057005574439514	0.99	251.19	0	-0.010050335853501	0.003941239699033	-5.53625996073795	-11	-0.99	0809	10
955	0.0211	10.7	0.35	0.5	30	0	2642	-0.041369019463627	-0.062746204032723	2.7	237.78	0	0.993251773010283	0.011355034065102	-4.47809410342012	-30	-2.7	0809	10
979	0.0203	10.758	0.347	0.5	70	0.36	3357	-0.02562117220315	0.175019330883313	6.3	302.13	0.0324	1.84054963339749	0.020851951146857	-3.87030775493068	-69.64	-6.2676	0809	10
978	0.0203	10.758	0.347	0.5	55	0.72	2630	0.024090082918066	0.027634553521272	4.95	236.7	0.0648	1.5993875765806	0.020912547528517	-3.86740593993934	-54.28	-4.8852	0809	10
956	0.0199	10.746	0.348	0.5	10	0	3711	0.048039659614029	-0.018024099681911	0.9	333.99	0	-0.105360515657826	0.002694691457828	-5.91647156806655	-10	-0.9	0809	10
980	0.0203	10.758	0.347	0.5	14	0.45	4267	-0.026769013712325	0.064307049855648	1.26	384.03	0.0405	0.231111720963387	0.003280993672369	-5.71960895357274	-13.55	-1.2195	0809	10
981	0.0192	10.9	0.34	0.8	38	0.27	2870	-0.003550874654771	0.172810319220865	3.42	258.3	0.0243	1.22964055107451	0.013240418118467	-4.32448114902728	-37.73	-3.3957	0809	10
1017	0.0025	10.74	0.346	0.8	5	0	2638	-0.008185642084341	0.104355376605744	0.45	237.42	0	-0.798507696217772	0.001895375284306	-6.26833842084316	-5	-0.45	0809	10
1001	0.0219	10.719	0.348	0.8	52	0.45	3686	-0.004407542764323	0.143018146022609	4.68	331.74	0.0405	1.54329810992956	0.014107433532284	-4.26105341964834	-51.55	-4.6395	0809	10
1028	0.0025	10.8	0.34	0.8	410	3.6	1024	0.021303956263028	-0.115725455765546	36.9	92.16	0.324	3.60821155104648	0.400390625	-0.9153146459011	-406.4	-36.576	0809	10
1029	0.0025	10.8	0.34	0.8	453	11.61	3047	-0.039932092419327	-0.027518856485901	40.77	274.23	1.0449	3.70794651683116	0.148670823761076	-1.90602065350267	-441.39	-39.7251	0809	10
1018	0.0025	10.8	0.34	0.8	179	0	2888	-0.105173078155367	0.114347213754408	16.11	259.92	0	2.77944019718888	0.061980609418283	-2.78093369417196	-179	-16.11	0809	10
1031	0.0025	10.8	0.34	0.8	22	1.8	3407	-0.06887341853694	0.133680031176928	1.98	306.63	0.162	0.683096844706444	0.006457293806868	-5.04254496430265	-20.2	-1.818	0809	10
1030	0.0025	10.8	0.34	0.8	60	9.72	2840	0.050145456624038	-0.031249702515847	5.4	255.6	0.8748	1.68639895357023	0.02112676056338	-3.85721476893315	-50.28	-4.5252	0809	10
1019	0.0025	10.8	0.34	0.8	23	0	1270	0.062962562449227	-0.087364826394492	2.07	114.3	0	0.727548607277278	0.018110236220472	-4.01127796352349	-23	-2.07	0809	10
1003	0.0025	10.9	0.34	0.8	22	0	3776	0.133337053428391	-0.121336728407528	1.98	339.84	0	0.683096844706444	0.005826271186441	-5.14537807390708	-22	-1.98	0809	10
1002	0.0025	10.9	0.34	0.8	86	0	1914	0.173090008420533	-0.117868240108463	7.74	172.26	0	2.04640168760164	0.044932079414838	-3.10260327575939	-86	-7.74	0809	10
1020	0.0025	10.853	0.34	0.8	37	0	1359	0.008929686805664	-0.147060020338005	3.33	122.31	0	1.20297230399235	0.027225901398087	-3.60358650150692	-37	-3.33	0809	10
984	0.0025	10.9	0.34	0.8	5	0	302	0.172771562302395	-0.005766264909464	0.45	27.18	0	-0.798507696217772	0.016556291390728	-4.10098910494077	-5	-0.45	0809	10
